device_x,device_y,cursor_pos,time,overlap,speed,cursor_size,zigzag_pos,shape_thicc
2.1060213508204773,-13.310054937185418,2.1060213508204773,82.41636085510254,True,0.005490038998610346,0.4,-141.9120180751083,0.25
2.1060213508204773,-13.310054937185418,2.1060213508204773,82.41943001747131,True,0.005490038998610346,0.4,-141.9175081141069,0.25
2.1060213508204773,-13.310054937185418,2.1060213508204773,82.42245388031006,True,0.005490038998610346,0.4,-141.9229981531055,0.25
2.16218192017569,-13.310054937185418,2.16218192017569,82.42547297477722,True,0.005490038998610346,0.4,-141.9284881921041,0.25
2.16218192017569,-13.310054937185418,2.16218192017569,82.42925095558167,True,0.005490038998610346,0.4,-141.9339782311027,0.25
2.246422774208509,-13.310054937185418,2.246422774208509,82.43228101730347,True,0.005490038998610346,0.4,-141.93946827010132,0.25
2.246422774208509,-13.310054937185418,2.246422774208509,82.43528699874878,True,0.005490038998610346,0.4,-141.94495830909992,0.25
2.246422774208509,-13.310054937185418,2.246422774208509,82.43827986717224,True,0.005490038998610346,0.4,-141.95044834809852,0.25
2.3587439129189347,-13.310054937185418,2.3587439129189347,82.44202995300293,True,0.005490038998610346,0.4,-141.95593838709712,0.25
2.3587439129189347,-13.310054937185418,2.3587439129189347,82.44582295417786,True,0.005490038998610346,0.4,-141.96142842609572,0.25
2.4991453363069667,-13.310054937185418,2.4991453363069667,82.44889187812805,True,0.005490038998610346,0.4,-141.96691846509432,0.25
2.4991453363069667,-13.310054937185418,2.4991453363069667,82.4521210193634,True,0.005490038998610346,0.4,-141.97240850409293,0.25
2.4991453363069667,-13.310054937185418,2.4991453363069667,82.45511889457703,True,0.005490038998610346,0.4,-141.97789854309153,0.25
2.6676270443726047,-13.310054937185418,2.6676270443726047,82.45812797546387,True,0.005490038998610346,0.4,-141.98338858209013,0.25
2.6676270443726047,-13.310054937185418,2.6676270443726047,82.4618890285492,True,0.005490038998610346,0.4,-141.98887862108873,0.25
2.836108752438243,-13.338135221863023,2.836108752438243,82.46492981910706,True,0.005490038998610346,0.4,-141.99436866008733,0.25
2.836108752438243,-13.338135221863023,2.836108752438243,82.4679479598999,True,0.005490038998610346,0.4,-141.99985869908593,0.25
2.836108752438243,-13.338135221863023,2.836108752438243,82.47095394134521,True,0.005490038998610346,0.4,-142.00534873808454,0.25
3.004590460503881,-13.338135221863023,3.004590460503881,82.4739727973938,True,0.005490038998610346,0.4,-142.01083877708314,0.25
3.004590460503881,-13.338135221863023,3.004590460503881,82.47773098945618,True,0.005490038998610346,0.4,-142.01632881608174,0.25
3.1730721685695196,-13.338135221863023,3.1730721685695196,82.48078894615173,True,0.005490038998610346,0.4,-142.02181885508034,0.25
3.1730721685695196,-13.338135221863023,3.1730721685695196,82.48380088806152,True,0.005490038998610346,0.4,-142.02730889407894,0.25
3.1730721685695196,-13.338135221863023,3.1730721685695196,82.4867889881134,True,0.005490038998610346,0.4,-142.03279893307754,0.25
3.369634161312764,-13.338135221863023,3.369634161312764,82.4898009300232,True,0.005490038998610346,0.4,-142.03828897207615,0.25
3.369634161312764,-13.338135221863023,3.369634161312764,82.49356389045715,True,0.005490038998610346,0.4,-142.04377901107475,0.25
3.5381158693784025,-13.338135221863023,3.5381158693784025,82.49660301208496,True,0.005490038998610346,0.4,-142.04926905007335,0.25
3.5381158693784025,-13.338135221863023,3.5381158693784025,82.49960279464722,True,0.005490038998610346,0.4,-142.05475908907195,0.25
3.5381158693784025,-13.338135221863023,3.5381158693784025,82.50258302688599,True,0.005490038998610346,0.4,-142.06024912807055,0.25
3.7065975774440405,-13.338135221863023,3.7065975774440405,82.50557780265808,True,0.005490038998610346,0.4,-142.06573916706915,0.25
3.7065975774440405,-13.338135221863023,3.7065975774440405,82.50933384895325,True,0.005490038998610346,0.4,-142.07122920606776,0.25
3.8469990008320725,-13.338135221863023,3.8469990008320725,82.51234984397888,True,0.005490038998610346,0.4,-142.07671924506636,0.25
3.8469990008320725,-13.338135221863023,3.8469990008320725,82.51534700393677,True,0.005490038998610346,0.4,-142.08220928406496,0.25
3.8469990008320725,-13.338135221863023,3.8469990008320725,82.51833200454712,True,0.005490038998610346,0.4,-142.08769932306356,0.25
3.931239854864891,-13.310054937185418,3.931239854864891,82.52133083343506,True,0.005490038998610346,0.4,-142.09318936206216,0.25
3.931239854864891,-13.310054937185418,3.931239854864891,82.52508282661438,True,0.005490038998610346,0.4,-142.09867940106076,0.25
4.0154807088977105,-13.310054937185418,4.0154807088977105,82.52812886238098,True,0.005490038998610346,0.4,-142.10416944005937,0.25
4.0154807088977105,-13.310054937185418,4.0154807088977105,82.53112888336182,True,0.005490038998610346,0.4,-142.10965947905797,0.25
4.0154807088977105,-13.310054937185418,4.0154807088977105,82.53411793708801,True,0.005490038998610346,0.4,-142.11514951805657,0.25
4.0435609935753165,-13.310054937185418,4.0435609935753165,82.53713202476501,True,0.005490038998610346,0.4,-142.12063955705517,0.25
4.0435609935753165,-13.310054937185418,4.0435609935753165,82.54099488258362,True,0.005490038998610346,0.4,-142.12612959605377,0.25
4.0716412782529225,-13.281974652507811,4.0716412782529225,82.54419684410095,True,0.005490038998610346,0.4,-142.13161963505237,0.25
4.0716412782529225,-13.281974652507811,4.0716412782529225,82.54720187187195,True,0.005490038998610346,0.4,-142.13710967405098,0.25
4.0716412782529225,-13.281974652507811,4.0716412782529225,82.55018281936646,True,0.005490038998610346,0.4,-142.14259971304958,0.25
4.0997215629305295,-13.281974652507811,4.0997215629305295,82.55317902565002,True,0.005490038998610346,0.4,-142.14808975204818,0.25
4.0997215629305295,-13.281974652507811,4.0997215629305295,82.55702686309814,True,0.005490038998610346,0.4,-142.15357979104678,0.25
4.1278018476081355,-13.281974652507811,4.1278018476081355,82.56005096435547,True,0.005490038998610346,0.4,-142.15906983004538,0.25
4.1278018476081355,-13.281974652507811,4.1278018476081355,82.56305384635925,True,0.005490038998610346,0.4,-142.16455986904398,0.25
4.1278018476081355,-13.281974652507811,4.1278018476081355,82.56604194641113,True,0.005490038998610346,0.4,-142.17004990804259,0.25
